action_id,report_id,type,name,id,start,end
1238,18,watching channel,TNT,46,1.51026E+12,1.51026E+12
1239,18,watching channel,TBS,47,1.51026E+12,1.51026E+12
1240,18,watching channel,Inv Discovery,48,1.51026E+12,1.51026E+12
1241,18,watching channel,Bravo,41,1.51026E+12,1.51026E+12
1242,18,watching channel,WE,87,1.51026E+12,1.51026E+12
1243,18,watching channel,Lifetime watching movies,63,1.51026E+12,1.51026E+12
1244,18,watching channel,Turner Classic,60,1.51026E+12,1.51026E+12
1245,18,watching channel,LifeTime,61,1.51026E+12,1.51026E+12
1246,18,watching channel,AMC,69,1.51026E+12,1.51026E+12
1247,18,watching channel,Hallmark,83,1.51026E+12,1.51026E+12
1248,18,watching channel,BBC America,62,1.51026E+12,1.51026E+12
1249,18,watching channel,TruTV,53,1.51026E+12,1.51026E+12
1250,18,watching channel,Comedy Central,44,1.51026E+12,1.51026E+12
1251,18,watching channel,TruTV,53,1.51026E+12,1.51028E+12
1252,19,watching channel,TV Direct 13,137,1.51027E+12,1.51027E+12
1253,19,watching channel,NPO 1,51,1.51027E+12,1.51027E+12
1254,19,watching channel,NPO 2,52,1.51027E+12,1.51027E+12
1255,19,watching channel,NPO 3,53,1.51027E+12,1.51027E+12
1256,19,watching channel,NPO 2,52,1.51027E+12,1.51027E+12
1257,19,watching channel,NPO 1,51,1.51027E+12,1.51028E+12
1258,19,watching channel,Discovery watching channel,69,1.51028E+12,1.51028E+12
1259,19,watching channel,National Geographic Wild,70,1.51028E+12,1.51028E+12
1260,20,watching channel,CNN,1252,1.51023E+12,1.51023E+12
1261,20,watching channel,CNN NEWS U,381,1.51023E+12,1.51023E+12
1262,20,watching channel,EURO NEWS,1054,1.51023E+12,1.51023E+12
1263,20,watching channel,CNN NEWS,380,1.51023E+12,1.51026E+12
1264,20,using app,Show Box,com.tdo.showbox,1.51026E+12,1.51027E+12
1265,20,using app,Show Box,com.tdo.showbox,1.51027E+12,1.51027E+12
1266,20,using app,Show Box,com.tdo.showbox,1.51027E+12,1.51027E+12
1267,21,watching channel,STAR PLUS HD,4,1.51025E+12,1.51025E+12
1268,21,watching channel,STAR PLUS IND,5,1.51025E+12,1.51025E+12
1269,21,watching channel,STAR PLUS HD,4,1.51025E+12,1.51025E+12
1270,21,watching channel,TEST,1222,1.51025E+12,1.51025E+12
1271,21,watching channel,STAR PLUS HD,4,1.51025E+12,1.51025E+12
1272,21,watching channel,STAR PLUS IND,5,1.51025E+12,1.51025E+12
1273,21,watching channel,STAR PLUS EU,6,1.51025E+12,1.51025E+12
1274,21,watching channel,STAR UTSAV,7,1.51025E+12,1.51025E+12
1275,21,watching channel,COLORS HD,8,1.51025E+12,1.51025E+12
1276,21,watching channel,COLORS IND,9,1.51025E+12,1.51025E+12
1277,21,watching channel,COLORS UK,10,1.51025E+12,1.51025E+12
1278,21,watching channel,SONY TV HD,12,1.51025E+12,1.51025E+12
1279,21,watching channel,SONY TV IND,13,1.51025E+12,1.51025E+12
1280,21,watching channel,SONY TV UK,14,1.51025E+12,1.51025E+12
1281,21,watching channel,SONY MIX,15,1.51025E+12,1.51025E+12
1282,21,watching channel,SONY SAB,17,1.51025E+12,1.51025E+12
1283,21,watching channel,SONY SAB UK,18,1.51025E+12,1.51025E+12
1284,21,watching channel,SONY MAX HD,19,1.51025E+12,1.51025E+12
1285,21,watching channel,SONY MAX,20,1.51025E+12,1.51025E+12
1286,21,watching channel,SONY MAX UK,21,1.51025E+12,1.51025E+12
1287,21,watching channel,SONY MAX 2,22,1.51025E+12,1.51025E+12
1288,21,watching channel,RISHTEY CINEPLEX,23,1.51025E+12,1.51025E+12
1289,21,watching channel,RISHTY EU,25,1.51025E+12,1.51025E+12
